Cell habitat variables for Tailrace site
Official input file, June 2008
CellNumber,FracShelt,DistHide(m),FracSpawn,FracHide
175,0.05,2.50,0.00,0.02
176,0.10,1.27,0.00,0.05
177,0.10,1.27,0.00,0.05
178,0.10,1.27,0.00,0.05
179,0.10,1.27,0.00,0.05
180,0.10,1.27,0.00,0.05
181,0.30,0.86,0.00,0.15
182,0.30,0.86,0.00,0.15
183,0.30,0.86,0.00,0.15
184,0.30,0.86,0.00,0.15
185,0.50,0.10,0.00,0.50
186,0.10,0.20,0.00,0.10
187,0.10,0.20,0.00,0.10
188,0.10,0.20,0.00,0.10
189,0.01,3.75,0.00,0.01
190,0.50,0.10,0.00,0.50
191,0.01,3.75,0.00,0.01
192,0.05,2.50,0.00,0.02
193,0.02,1.00,0.00,0.05
194,0.10,1.27,0.00,0.05
195,0.05,2.50,0.00,0.02
196,0.10,1.27,0.00,0.05
197,0.10,1.27,0.00,0.05
198,0.10,1.27,0.00,0.05
199,0.30,0.86,0.00,0.15
200,0.30,0.86,0.00,0.15
201,0.01,3.75,0.00,0.01
202,0.01,3.75,0.00,0.01
203,0.50,0.10,0.00,0.50
204,0.50,0.50,0.00,0.50
205,0.05,0.50,0.00,0.05
206,0.00,0.00,0.00,0.00
207,0.50,0.50,0.00,0.50
208,0.50,0.50,0.00,0.50
209,0.50,0.50,0.00,0.50
210,0.02,1.00,0.00,0.05
211,0.00,3.00,0.50,0.00
212,0.00,3.00,0.50,0.00
213,0.00,3.00,0.50,0.00
214,0.10,1.27,0.00,0.05
215,0.10,1.27,0.00,0.05
216,0.10,1.27,0.00,0.05
217,0.10,1.27,0.00,0.05
218,0.10,1.27,0.00,0.05
219,0.30,0.86,0.00,0.15
220,0.30,0.86,0.00,0.15
221,0.50,0.50,0.00,0.50
222,0.50,0.50,0.00,0.50
223,0.05,0.50,0.00,0.05
224,0.50,0.50,0.00,0.50
225,0.05,2.00,0.00,0.05
226,0.50,0.50,0.00,0.50
227,0.40,0.20,0.00,0.50
228,0.00,2.00,0.00,0.02
229,0.00,2.00,0.00,0.02
230,0.00,2.00,0.00,0.02
231,0.00,3.00,0.50,0.00
232,0.20,0.80,0.00,0.10
233,0.10,1.27,0.00,0.05
234,0.50,0.50,0.00,0.50
235,0.50,0.50,0.00,0.50
236,0.30,0.86,0.00,0.15
237,0.50,0.50,0.00,0.50
238,0.50,0.50,0.00,0.50
239,0.50,0.50,0.00,0.50
240,0.50,0.50,0.00,0.50
241,0.15,0.40,0.00,0.05
242,0.50,1.00,0.00,0.30
243,0.50,0.50,0.00,0.50
244,0.10,0.20,0.00,0.50
245,0.50,0.50,0.00,0.50
246,0.50,1.00,0.00,0.05
247,0.50,1.00,0.00,0.05
248,0.20,0.80,0.00,0.10
249,0.20,0.80,0.00,0.10
250,0.20,0.80,0.00,0.10
251,0.20,0.80,0.00,0.10
252,0.20,0.80,0.00,0.10
253,0.20,0.80,0.00,0.10
254,0.50,0.50,0.00,0.50
255,0.50,0.50,0.00,0.50
256,0.50,0.50,0.00,0.50
257,0.10,0.20,0.00,0.50
258,0.00,0.00,0.00,0.00
259,0.10,0.20,0.00,0.50
260,0.10,0.20,0.00,0.50
261,0.10,0.20,0.00,0.50
262,0.10,0.20,0.00,0.50
263,0.10,0.20,0.00,0.50
264,0.10,0.20,0.00,0.50
265,0.10,0.20,0.00,0.50
266,0.10,0.20,0.00,0.50
267,0.20,1.20,0.00,0.02
268,0.20,1.20,0.00,0.02
269,0.20,0.80,0.00,0.10
270,0.20,1.20,0.00,0.02
271,0.20,0.80,0.00,0.10
272,0.20,0.80,0.00,0.10
273,0.20,0.80,0.00,0.10
274,0.20,0.80,0.00,0.10
275,0.20,0.80,0.00,0.10
276,0.20,0.80,0.00,0.10
277,0.10,0.20,0.00,0.50
278,0.20,0.80,0.00,0.10
279,0.20,0.80,0.00,0.10
280,0.20,0.80,0.00,0.10
281,0.10,0.20,0.00,0.50
282,0.10,0.20,0.00,0.50
283,0.10,0.20,0.00,0.50
284,0.00,0.00,0.00,0.00
285,0.15,1.00,0.00,0.05
286,0.15,1.00,0.00,0.05
287,0.15,1.00,0.00,0.05
288,0.10,0.20,0.00,0.50
289,0.10,0.20,0.00,0.50
290,0.10,0.20,0.00,0.50
291,0.10,0.20,0.00,0.50
292,0.15,1.00,0.00,0.05
293,0.10,0.20,0.00,0.50
294,0.10,0.20,0.00,0.50
295,0.10,0.20,0.00,0.50
296,0.20,1.20,0.00,0.02
297,0.50,0.20,0.00,0.50
298,0.20,1.20,0.00,0.02
299,0.20,1.20,0.00,0.02
300,0.20,1.20,0.00,0.02
301,0.20,0.80,0.00,0.10
302,0.20,0.80,0.00,0.10
303,0.20,0.80,0.00,0.10
304,0.20,0.80,0.00,0.10
305,0.20,0.80,0.00,0.10
306,0.20,0.80,0.00,0.10
307,0.10,0.20,0.00,0.50
308,0.20,0.80,0.00,0.10
309,0.20,0.80,0.00,0.10
310,0.20,0.80,0.00,0.10
311,0.10,0.20,0.00,0.50
312,0.10,0.20,0.00,0.50
313,0.10,0.20,0.00,0.50
314,0.15,1.00,0.00,0.05
315,0.20,2.00,0.00,0.30
316,0.10,0.20,0.00,0.50
317,0.10,0.20,0.00,0.50
318,0.10,0.20,0.00,0.50
319,0.10,0.20,0.00,0.50
320,0.01,3.75,0.02,0.01
321,0.01,3.75,0.02,0.01
322,0.01,3.75,0.02,0.01
323,0.10,0.20,0.00,0.50
324,0.10,0.20,0.00,0.50
325,0.10,0.20,0.00,0.50
326,0.05,0.50,0.00,0.35
327,0.05,0.50,0.00,0.35
328,0.05,0.50,0.00,0.35
329,0.50,0.20,0.00,0.50
330,0.50,0.20,0.00,0.50
331,0.15,0.75,0.00,0.30
332,0.03,3.75,0.02,0.01
333,0.03,3.75,0.02,0.01
334,0.20,0.80,0.00,0.10
335,0.20,0.80,0.00,0.10
336,0.20,0.80,0.00,0.10
337,0.20,0.80,0.00,0.10
338,0.20,0.80,0.00,0.10
339,0.20,0.80,0.00,0.10
340,0.20,0.80,0.00,0.10
341,0.20,0.80,0.00,0.10
342,0.20,0.80,0.00,0.10
343,0.10,0.10,0.01,0.75
344,0.10,0.10,0.01,0.75
345,0.01,3.75,0.02,0.01
346,0.01,3.75,0.02,0.01
347,0.10,0.20,0.00,0.50
348,0.01,3.75,0.02,0.01
349,0.20,0.80,0.00,0.10
350,0.20,0.80,0.00,0.10
351,0.01,3.75,0.02,0.01
352,0.01,3.75,0.02,0.01
353,0.01,3.75,0.02,0.01
354,0.01,3.75,0.02,0.01
355,0.01,3.75,0.02,0.01
356,0.30,0.80,0.00,0.05
357,0.20,0.40,0.00,0.60
358,0.20,0.40,0.00,0.60
359,0.01,0.60,0.00,0.30
360,0.15,0.75,0.00,0.30
361,0.15,0.75,0.00,0.30
362,0.03,3.75,0.02,0.01
363,0.03,3.75,0.02,0.01
364,0.30,0.80,0.00,0.05
365,0.03,3.75,0.02,0.01
366,0.03,3.75,0.02,0.01
367,0.03,3.75,0.02,0.01
368,0.03,3.75,0.02,0.01
369,0.03,3.75,0.02,0.01
370,0.03,3.75,0.02,0.01
371,0.30,0.30,0.01,0.15
372,0.10,1.00,0.15,0.30
373,0.10,1.00,0.15,0.30
374,0.01,3.75,0.02,0.01
375,0.10,1.00,0.15,0.30
376,0.10,1.00,0.15,0.30
377,0.10,1.00,0.15,0.30
378,0.01,3.75,0.02,0.01
379,0.01,3.75,0.02,0.01
380,0.01,3.75,0.02,0.01
381,0.03,3.75,0.02,0.01
382,0.03,3.75,0.02,0.01
383,0.03,3.75,0.02,0.01
384,0.20,0.40,0.00,0.60
385,0.20,0.40,0.00,0.60
386,0.20,0.40,0.00,0.60
387,0.20,0.40,0.00,0.60
388,0.20,0.40,0.00,0.60
389,0.15,0.75,0.00,0.30
390,0.15,0.75,0.00,0.30
391,0.15,0.75,0.00,0.30
392,0.15,0.75,0.00,0.30
393,0.03,3.75,0.02,0.01
394,0.03,3.75,0.02,0.01
395,0.03,3.75,0.02,0.01
396,0.03,3.75,0.02,0.01
397,0.03,3.75,0.02,0.01
398,0.03,3.75,0.02,0.01
399,0.03,3.75,0.02,0.01
400,0.03,3.75,0.02,0.01
401,0.03,3.75,0.02,0.01
402,0.40,0.30,0.00,0.30
403,0.10,1.00,0.15,0.30
404,0.01,3.75,0.02,0.01
405,0.01,3.75,0.02,0.01
