Cell habitat variables for Tailrace site
Official input file, June 2008
CellNumber,FracShelt,DistHide(m),FracSpawn,FracHide
762,0.20,0.96,0.00,0.10
763,0.03,3.00,0.01,0.05
764,0.03,3.00,0.01,0.05
765,0.03,2.00,0.00,0.02
766,0.03,2.00,0.00,0.02
767,0.03,2.00,0.00,0.02
768,0.20,0.20,0.00,0.50
769,0.00,0.00,0.00,0.00
770,0.00,0.00,0.00,0.00
771,0.20,0.96,0.00,0.10
772,0.20,0.96,0.00,0.10
773,0.20,0.96,0.00,0.10
774,0.20,1.27,0.00,0.05
775,0.20,1.27,0.00,0.05
776,0.03,2.00,0.00,0.02
777,0.03,2.00,0.00,0.02
778,0.20,0.20,0.00,0.50
779,0.00,0.00,0.00,0.00
780,0.20,0.96,0.00,0.10
781,0.00,0.00,0.00,0.00
782,0.20,0.96,0.00,0.10
783,0.20,0.96,0.00,0.10
784,0.20,0.96,0.00,0.10
785,0.20,1.27,0.00,0.05
786,0.08,0.80,0.00,0.10
787,0.08,0.80,0.00,0.10
788,0.08,0.80,0.00,0.10
789,0.20,0.20,0.00,0.50
790,0.20,0.20,0.00,0.50
791,0.08,0.80,0.00,0.10
792,0.00,0.00,0.00,0.00
793,0.00,0.00,0.00,0.00
794,0.20,0.96,0.00,0.10
795,0.50,1.00,0.00,0.20
796,0.00,0.00,0.00,0.00
797,0.20,1.27,0.00,0.05
798,0.20,0.96,0.00,0.10
799,0.08,0.80,0.00,0.10
800,0.08,0.80,0.00,0.10
801,0.08,0.80,0.00,0.10
802,0.08,0.80,0.00,0.10
803,0.08,0.80,0.00,0.10
804,0.20,0.20,0.00,0.50
805,0.03,1.50,0.00,0.02
806,0.00,0.00,0.00,0.00
807,0.00,0.00,0.00,0.00
808,0.50,1.00,0.00,0.20
809,0.50,1.00,0.00,0.20
810,0.20,1.27,0.00,0.05
811,0.30,0.80,0.00,0.10
812,0.03,1.50,0.00,0.02
813,0.20,0.50,0.00,0.20
814,0.30,0.80,0.00,0.10
815,0.20,0.10,0.00,0.80
816,0.20,0.50,0.00,0.20
817,0.00,0.00,0.00,0.00
818,0.00,0.00,0.00,0.00
819,0.50,1.00,0.00,0.20
820,0.50,1.00,0.00,0.20
821,0.00,0.00,0.00,0.00
822,0.10,0.50,0.00,0.05
823,0.10,0.50,0.00,0.05
824,0.02,3.75,0.02,0.01
825,0.01,3.75,0.05,0.01
826,0.30,0.80,0.00,0.10
827,0.20,0.50,0.00,0.20
828,0.40,0.20,0.00,0.50
829,0.40,0.20,0.00,0.50
830,0.20,1.00,0.00,0.15
831,0.00,0.00,0.00,0.00
832,0.50,1.00,0.00,0.20
833,0.50,1.00,0.00,0.20
834,0.10,0.50,0.00,0.05
835,0.10,0.50,0.00,0.05
836,0.10,0.50,0.00,0.05
837,0.02,3.75,0.02,0.01
838,0.01,3.75,0.05,0.01
839,0.05,2.00,0.00,0.01
840,0.01,3.75,0.05,0.01
841,0.05,0.80,0.02,0.10
842,0.05,2.00,0.00,0.01
843,0.40,0.20,0.00,0.50
844,0.20,1.00,0.00,0.15
845,0.10,0.50,0.00,0.05
846,0.00,0.00,0.00,0.00
847,0.10,0.50,0.00,0.05
848,0.10,0.50,0.00,0.05
849,0.10,0.20,0.00,0.30
850,0.10,0.20,0.00,0.30
851,0.10,0.50,0.00,0.05
852,0.02,3.75,0.02,0.01
853,0.01,3.75,0.05,0.01
854,0.01,3.75,0.05,0.01
855,0.05,2.00,0.00,0.01
856,0.20,1.00,0.00,0.15
857,0.01,3.75,0.05,0.01
858,0.20,1.00,0.00,0.15
859,0.25,0.50,0.00,0.20
860,0.00,0.00,0.00,0.00
861,0.25,0.50,0.00,0.20
862,0.25,0.50,0.00,0.20
863,0.25,0.50,0.00,0.20
864,0.25,0.50,0.00,0.20
865,0.25,0.50,0.00,0.20
866,0.02,3.75,0.02,0.01
867,0.10,0.20,0.00,0.30
868,0.10,0.20,0.00,0.30
869,0.02,3.75,0.02,0.01
870,0.02,3.75,0.02,0.01
871,0.01,3.75,0.05,0.01
872,0.01,3.75,0.05,0.01
873,0.01,3.75,0.05,0.01
874,0.01,3.75,0.05,0.01
875,0.01,3.75,0.05,0.01
876,0.01,3.75,0.05,0.01
877,0.01,3.75,0.05,0.01
878,0.30,1.50,0.00,0.10
879,0.30,1.50,0.00,0.10
880,0.40,0.20,0.00,0.50
881,0.00,0.00,0.00,0.00
882,0.00,0.00,0.00,0.00
883,0.25,0.10,0.00,0.30
884,0.25,0.10,0.00,0.30
885,0.25,0.86,0.00,0.15
886,0.25,0.86,0.00,0.15
887,0.25,0.10,0.00,0.30
888,0.10,0.20,0.00,0.30
889,0.10,0.20,0.00,0.30
890,0.02,3.75,0.02,0.01
891,0.02,3.75,0.02,0.01
892,0.02,3.75,0.02,0.01
893,0.02,3.75,0.02,0.01
894,0.02,3.75,0.02,0.01
895,0.05,1.00,0.00,0.05
896,0.01,3.75,0.05,0.01
897,0.01,3.75,0.05,0.01
898,0.01,3.75,0.05,0.01
899,0.02,3.75,0.02,0.01
900,0.02,3.75,0.02,0.01
901,0.02,3.75,0.02,0.01
902,0.30,1.50,0.00,0.10
903,0.05,1.00,0.00,0.05
904,0.30,1.50,0.00,0.10
905,0.00,0.00,0.00,0.00
906,0.00,0.00,0.00,0.00
907,0.25,0.10,0.00,0.30
908,0.25,0.10,0.00,0.30
909,0.00,0.00,0.00,0.00
910,0.02,3.75,0.02,0.01
911,0.02,3.75,0.02,0.01
912,0.25,0.86,0.00,0.15
913,0.25,0.86,0.00,0.15
914,0.25,0.86,0.00,0.15
915,0.25,0.86,0.00,0.15
916,0.05,1.00,0.00,0.05
917,0.05,0.00,0.00,0.80
918,0.01,3.75,0.05,0.01
919,0.02,3.75,0.02,0.01
920,0.02,3.75,0.02,0.01
921,0.02,3.75,0.02,0.01
922,0.05,0.00,0.00,0.80
923,0.00,0.00,0.00,0.00
924,0.00,0.00,0.00,0.00
925,0.01,0.10,0.00,0.80
926,0.25,0.86,0.00,0.15
927,0.01,0.10,0.00,0.80
928,0.02,3.75,0.02,0.01
929,0.25,0.86,0.00,0.15
930,0.02,3.75,0.02,0.01
931,0.05,0.00,0.00,0.80
932,0.01,3.75,0.05,0.01
933,0.05,0.00,0.00,0.80
934,0.30,0.70,0.00,0.15
935,0.02,3.75,0.02,0.01
936,0.10,0.20,0.00,0.50
937,0.00,0.00,0.00,0.00
938,0.01,0.10,0.00,0.80
939,0.25,0.86,0.00,0.15
940,0.01,0.10,0.00,0.80
941,0.25,0.86,0.00,0.15
942,0.25,0.86,0.00,0.15
943,0.02,3.75,0.02,0.01
944,0.30,0.70,0.00,0.15
945,0.01,3.75,0.05,0.01
946,0.01,3.75,0.05,0.01
947,0.30,0.70,0.00,0.15
948,0.01,0.00,0.00,0.80
949,0.01,0.00,0.00,0.80
950,0.00,0.00,0.00,0.00
951,0.00,0.00,0.00,0.00
952,0.10,1.00,0.00,0.20
953,0.00,0.00,0.00,0.00
954,0.00,0.00,0.00,0.00
955,0.25,0.86,0.00,0.15
956,0.10,1.00,0.00,0.20
957,0.10,1.00,0.00,0.20
958,0.10,1.00,0.00,0.20
959,0.10,1.00,0.00,0.20
960,0.25,0.86,0.00,0.15
961,0.25,0.86,0.00,0.15
962,0.25,0.86,0.00,0.15
963,0.25,0.86,0.00,0.15
964,0.02,3.75,0.02,0.01
965,0.02,3.75,0.02,0.01
966,0.01,3.75,0.05,0.01
967,0.02,3.75,0.02,0.01
968,0.01,0.00,0.00,0.80
969,0.01,0.00,0.00,0.80
970,0.01,0.00,0.00,0.80
971,0.01,0.00,0.00,0.80
972,0.30,0.20,0.00,0.50
973,0.00,0.00,0.00,0.00
974,0.02,0.50,0.00,0.25
975,0.02,0.50,0.00,0.25
976,0.02,0.50,0.00,0.25
977,0.02,0.50,0.00,0.25
978,0.25,0.86,0.00,0.15
979,0.25,0.86,0.00,0.15
980,0.10,0.75,0.00,0.20
981,0.10,0.75,0.00,0.20
982,0.02,2.00,0.00,0.00
983,0.02,2.00,0.00,0.00
984,0.02,2.00,0.00,0.00
985,0.02,2.00,0.00,0.00
986,0.02,2.00,0.00,0.00
987,0.10,0.75,0.00,0.20
988,0.10,0.75,0.00,0.20
989,0.25,0.86,0.00,0.15
990,0.25,0.86,0.00,0.15
991,0.25,0.86,0.00,0.15
992,0.25,0.86,0.00,0.15
993,0.02,3.75,0.02,0.01
994,0.02,3.75,0.02,0.01
995,0.05,1.27,0.00,0.05
996,0.05,1.27,0.00,0.05
997,0.02,0.00,0.00,0.90
998,0.05,1.27,0.00,0.05
999,0.30,0.20,0.00,0.50
1000,0.30,0.20,0.00,0.50
1001,0.01,2.00,0.00,0.01
1002,0.05,0.10,0.00,0.75
1003,0.10,0.75,0.00,0.20
1004,0.10,0.75,0.00,0.20
1005,0.00,0.00,0.00,0.80
1006,0.25,0.86,0.00,0.15
1007,0.25,0.86,0.00,0.15
1008,0.10,0.75,0.00,0.20
1009,0.10,0.75,0.00,0.20
1010,0.10,0.75,0.00,0.20
1011,0.02,2.00,0.00,0.00
1012,0.10,0.75,0.00,0.20
1013,0.02,2.00,0.00,0.00
1014,0.02,2.00,0.00,0.00
1015,0.02,2.00,0.00,0.00
1016,0.02,2.00,0.00,0.00
1017,0.02,2.00,0.00,0.00
1018,0.10,0.75,0.00,0.20
1019,0.25,0.86,0.00,0.15
1020,0.02,1.43,0.01,0.04
1021,0.02,1.43,0.01,0.04
1022,0.02,1.43,0.01,0.04
1023,0.02,1.43,0.01,0.04
1024,0.05,1.27,0.00,0.05
1025,0.05,1.27,0.00,0.05
1026,0.02,0.00,0.00,0.90
1027,0.05,1.27,0.00,0.05
1028,0.05,1.27,0.00,0.05
1029,0.12,0.10,0.00,0.60
1030,0.12,0.10,0.00,0.60
1031,0.02,0.00,0.00,0.90
1032,0.01,2.00,0.00,0.01
1033,0.01,2.00,0.00,0.01
1034,0.00,0.00,0.00,0.80
1035,0.01,2.00,0.00,0.01
1036,0.01,3.75,0.00,0.01
1037,0.00,0.00,0.00,0.80
1038,0.01,3.75,0.00,0.01
1039,0.01,3.75,0.00,0.01
1040,0.01,3.75,0.00,0.01
1041,0.01,3.75,0.00,0.01
1042,0.01,3.75,0.00,0.01
1043,0.01,3.75,0.00,0.01
1044,0.01,3.75,0.00,0.01
1045,0.01,3.75,0.00,0.01
1046,0.01,3.75,0.00,0.01
1047,0.01,3.75,0.00,0.01
1048,0.01,3.75,0.00,0.01
1049,0.02,2.00,0.00,0.00
1050,0.02,2.00,0.00,0.00
1051,0.01,3.75,0.00,0.01
1052,0.01,3.75,0.00,0.01
1053,0.01,3.75,0.00,0.01
1054,0.02,1.43,0.01,0.04
1055,0.02,1.43,0.01,0.04
1056,0.01,3.75,0.00,0.01
1057,0.05,1.27,0.00,0.05
1058,0.05,1.27,0.00,0.05
1059,0.02,0.00,0.00,0.90
1060,0.02,0.00,0.00,0.90
1061,0.05,1.27,0.00,0.05
1062,0.30,0.20,0.00,0.50
1063,0.12,0.10,0.00,0.60
1064,0.02,0.00,0.00,0.90
1065,0.00,0.00,0.00,0.00
1066,0.00,0.00,0.00,0.00
1067,0.00,0.00,0.00,0.80
1068,0.00,0.00,0.00,0.00
1069,0.01,3.75,0.00,0.01
1070,0.00,0.00,0.00,0.80
1071,0.00,0.00,0.00,0.80
1072,0.01,3.75,0.00,0.01
1073,0.01,3.75,0.00,0.01
1074,0.01,3.75,0.00,0.01
1075,0.01,3.75,0.00,0.01
1076,0.01,3.75,0.00,0.01
1077,0.01,3.75,0.00,0.01
1078,0.01,3.75,0.00,0.01
1079,0.01,3.75,0.00,0.01
1080,0.02,1.43,0.01,0.04
1081,0.01,3.75,0.00,0.01
1082,0.02,1.43,0.01,0.04
1083,0.02,1.43,0.01,0.04
1084,0.05,1.27,0.00,0.05
1085,0.05,1.27,0.00,0.05
1086,0.02,0.80,0.00,0.30
1087,0.02,0.80,0.00,0.30
1088,0.05,1.27,0.00,0.05
1089,0.02,0.00,0.00,0.90
1090,0.20,0.20,0.00,0.50
1091,0.20,0.20,0.00,0.50
1092,0.00,0.00,0.00,0.00
1093,0.00,0.00,0.00,0.80
1094,0.00,0.00,0.00,0.80
1095,0.01,3.75,0.00,0.01
1096,0.01,3.75,0.00,0.01
1097,0.00,0.00,0.00,0.80
1098,0.02,1.43,0.01,0.04
1099,0.02,1.43,0.01,0.04
1100,0.02,1.43,0.01,0.04
1101,0.02,1.43,0.01,0.04
1102,0.02,1.43,0.01,0.04
1103,0.25,1.00,0.00,0.05
1104,0.25,1.00,0.00,0.05
1105,0.25,1.00,0.00,0.05
1106,0.05,1.27,0.00,0.05
1107,0.20,0.20,0.00,0.50
1108,0.00,0.00,0.00,0.00
1109,0.00,0.00,0.00,0.80
1110,0.00,0.00,0.00,0.80
1111,0.01,3.75,0.00,0.01
1112,0.02,1.43,0.01,0.04
1113,0.02,1.43,0.01,0.04
1114,0.00,0.00,0.00,0.80
1115,0.05,1.27,0.00,0.05
1116,0.05,1.27,0.00,0.05
1117,0.02,1.43,0.01,0.04
1118,0.25,1.00,0.00,0.05
1119,0.05,2.00,0.00,0.02
1120,0.01,5.00,0.00,0.01
1121,0.10,0.25,0.00,0.50
1122,0.10,0.25,0.00,0.50
1123,0.00,0.00,0.00,0.80
1124,0.10,0.25,0.00,0.50
1125,0.00,0.00,0.00,0.80
1126,0.00,0.00,0.00,0.80
1127,0.05,1.27,0.00,0.05
1128,0.02,1.43,0.01,0.04
1129,0.20,0.70,0.00,0.20
1130,0.20,0.70,0.00,0.20
1131,0.00,0.00,0.00,0.80
1132,0.01,1.50,0.00,0.20
1133,0.20,0.70,0.00,0.20
1134,0.15,0.20,0.00,0.50
1135,0.01,1.50,0.00,0.20
1136,0.20,0.20,0.00,0.50
1137,0.10,0.25,0.00,0.50
1138,0.10,0.25,0.00,0.50
1139,0.05,0.75,0.00,0.50
1140,0.10,0.25,0.00,0.50
1141,0.05,0.75,0.00,0.50
1142,0.05,0.75,0.00,0.50
1143,0.00,0.00,0.00,0.80
1144,0.20,0.70,0.00,0.20
1145,0.20,0.70,0.00,0.20
1146,0.20,0.70,0.00,0.20
1147,0.20,0.70,0.00,0.20
1148,0.20,0.70,0.00,0.20
1149,0.20,0.70,0.00,0.20
1150,0.60,0.40,0.00,0.50
1151,0.20,0.10,0.00,0.90
1152,0.00,0.00,0.00,0.00
1153,0.05,0.75,0.00,0.50
1154,0.05,0.75,0.00,0.50
1155,0.00,0.00,0.00,0.80
1156,0.00,0.00,0.00,0.80
1157,0.20,0.70,0.00,0.20
1158,0.01,1.27,0.05,0.05
1159,0.20,0.70,0.00,0.20
1160,0.20,0.70,0.00,0.20
1161,0.20,0.70,0.00,0.20
1162,0.20,0.70,0.00,0.20
1163,0.20,0.70,0.00,0.20
1164,0.60,0.40,0.00,0.50
1165,0.00,0.10,0.00,0.80
1166,0.01,0.20,0.00,0.50
1167,0.00,0.00,0.00,0.00
1168,0.05,0.75,0.00,0.50
1169,0.30,0.75,0.00,0.30
1170,0.01,1.27,0.05,0.05
1171,0.01,1.27,0.05,0.05
1172,0.01,1.27,0.05,0.05
1173,0.01,1.27,0.05,0.05
1174,0.00,0.10,0.00,0.80
1175,0.20,0.70,0.00,0.20
1176,0.00,0.10,0.00,0.80
1177,0.02,0.50,0.00,0.50
1178,0.02,0.50,0.00,0.50
1179,0.10,0.73,0.00,0.40
1180,0.05,0.10,0.00,0.80
1181,0.05,0.10,0.00,0.80
1182,0.10,0.73,0.00,0.40
1183,0.00,0.00,0.00,0.00
1184,0.00,0.00,0.00,0.00
1185,0.05,0.75,0.00,0.50
1186,0.00,0.00,0.00,0.00
1187,0.30,0.75,0.00,0.30
1188,0.01,2.20,0.10,0.02
1189,0.01,1.27,0.05,0.05
1190,0.01,2.20,0.10,0.02
1191,0.01,1.27,0.05,0.05
1192,0.10,0.73,0.00,0.40
1193,0.05,0.10,0.00,0.80
1194,0.05,0.10,0.00,0.80
1195,0.01,0.20,0.00,0.50
1196,0.10,0.00,0.00,0.90
1197,0.10,0.73,0.00,0.40
1198,0.05,0.10,0.00,0.80
1199,0.00,0.30,0.00,0.60
1200,0.00,0.00,0.00,0.00
1201,0.00,0.00,0.00,0.00
1202,0.05,0.75,0.00,0.50
1203,0.00,0.00,0.00,0.00
1204,0.30,0.75,0.00,0.30
1205,0.30,0.75,0.00,0.30
1206,0.05,0.75,0.00,0.50
1207,0.01,2.20,0.10,0.02
1208,0.01,1.27,0.05,0.05
1209,0.01,2.20,0.10,0.02
1210,0.01,1.27,0.05,0.05
1211,0.10,0.73,0.00,0.40
1212,0.10,0.00,0.00,0.90
1213,0.05,0.20,0.00,0.70
1214,0.05,0.20,0.00,0.50
1215,0.00,0.00,0.00,0.00
1216,0.05,0.75,0.00,0.50
1217,0.75,1.00,0.00,0.25
1218,0.01,2.20,0.10,0.02
1219,0.30,0.75,0.00,0.30
1220,0.30,0.75,0.00,0.30
1221,0.01,1.27,0.05,0.05
1222,0.01,1.27,0.05,0.05
1223,0.05,0.20,0.00,0.70
1224,0.02,1.00,0.00,0.40
1225,0.05,0.20,0.00,0.70
1226,0.02,1.00,0.00,0.40
1227,0.02,1.00,0.00,0.40
1228,0.02,1.00,0.00,0.40
1229,0.10,0.20,0.00,0.50
1230,0.00,0.00,0.00,0.00
1231,0.75,1.00,0.00,0.25
1232,0.30,0.75,0.00,0.30
1233,0.30,0.75,0.00,0.30
1234,0.01,2.20,0.10,0.02
1235,0.01,2.20,0.10,0.02
1236,0.01,1.27,0.05,0.05
1237,0.02,0.30,0.00,0.60
1238,0.05,0.20,0.00,0.70
1239,0.05,0.20,0.00,0.70
1240,0.02,1.00,0.00,0.40
1241,0.05,0.20,0.00,0.70
1242,0.01,1.27,0.05,0.05
1243,0.02,1.00,0.00,0.40
1244,0.02,1.00,0.00,0.40
1245,0.00,0.00,0.00,0.00
1246,0.00,0.00,0.00,0.00
1247,0.75,1.00,0.00,0.25
1248,0.00,0.00,0.00,0.00
1249,0.30,0.75,0.00,0.30
1250,0.30,0.75,0.00,0.30
1251,0.01,2.20,0.10,0.02
1252,0.01,2.20,0.10,0.02
1253,0.01,2.20,0.10,0.02
1254,0.01,1.27,0.05,0.05
1255,0.02,0.30,0.00,0.60
1256,0.05,0.20,0.00,0.70
1257,0.05,0.20,0.00,0.70
1258,0.04,1.20,0.00,0.20
1259,0.04,1.20,0.00,0.20
1260,0.05,0.20,0.00,0.70
1261,0.01,1.27,0.05,0.05
1262,0.01,2.20,0.10,0.02
1263,0.01,1.27,0.05,0.05
1264,0.01,1.27,0.05,0.05
1265,0.01,2.20,0.10,0.02
1266,0.20,0.20,0.00,0.50
1267,0.00,0.00,0.00,0.00
1268,0.00,0.00,0.00,0.00
1269,0.75,1.00,0.00,0.25
1270,0.00,0.00,0.00,0.00
1271,0.30,0.75,0.00,0.30
1272,0.30,0.75,0.00,0.30
1273,0.30,0.75,0.00,0.30
1274,0.75,1.00,0.00,0.25
1275,0.75,1.00,0.00,0.25
1276,0.30,0.75,0.00,0.30
1277,0.30,0.75,0.00,0.30
1278,0.01,2.20,0.10,0.02
1279,0.30,0.75,0.00,0.30
1280,0.30,0.75,0.00,0.30
1281,0.02,0.30,0.00,0.60
1282,0.30,0.81,0.00,0.20
1283,0.30,0.81,0.00,0.20
1284,0.05,0.20,0.00,0.70
1285,0.04,1.20,0.00,0.20
1286,0.04,1.20,0.00,0.20
1287,0.05,0.20,0.00,0.70
1288,0.01,2.20,0.10,0.02
1289,0.01,2.20,0.10,0.02
1290,0.01,2.20,0.10,0.02
1291,0.01,2.20,0.10,0.02
1292,0.30,0.75,0.00,0.30
1293,0.30,0.75,0.00,0.30
1294,0.00,0.00,0.00,0.00
1295,0.75,1.00,0.00,0.25
1296,0.15,0.50,0.00,0.20
1297,0.30,0.75,0.00,0.30
1298,0.30,0.75,0.00,0.30
1299,0.75,1.00,0.00,0.25
1300,0.75,1.00,0.00,0.25
1301,0.75,1.00,0.00,0.25
1302,0.75,1.00,0.00,0.25
1303,0.75,1.00,0.00,0.25
1304,0.75,1.00,0.00,0.25
1305,0.75,1.00,0.00,0.25
1306,0.50,1.00,0.00,0.25
1307,0.30,0.75,0.00,0.30
1308,0.01,0.10,0.00,0.80
1309,0.30,0.81,0.00,0.20
1310,0.30,0.81,0.00,0.20
1311,0.04,1.00,0.00,0.30
1312,0.15,1.27,0.05,0.05
1313,0.15,1.27,0.05,0.05
1314,0.15,1.27,0.05,0.05
1315,0.15,1.27,0.05,0.05
1316,0.30,0.75,0.00,0.30
1317,0.15,1.27,0.05,0.05
1318,0.15,1.27,0.05,0.05
1319,0.30,0.75,0.00,0.30
1320,0.30,0.75,0.00,0.30
1321,0.30,0.75,0.00,0.30
1322,0.30,0.75,0.00,0.30
1323,0.00,0.00,0.00,0.00
1324,0.50,1.00,0.00,0.25
1325,0.50,1.00,0.00,0.25
1326,0.30,0.69,0.10,0.70
1327,0.30,0.69,0.10,0.70
1328,0.30,0.69,0.10,0.70
1329,0.75,1.00,0.00,0.25
1330,0.75,1.00,0.00,0.25
1331,0.75,1.00,0.00,0.25
1332,0.30,0.75,0.00,0.30
1333,0.75,1.00,0.00,0.25
1334,0.75,1.00,0.00,0.25
1335,0.75,1.00,0.00,0.25
1336,0.75,1.00,0.00,0.25
1337,0.75,1.00,0.00,0.25
1338,0.75,1.00,0.00,0.25
1339,0.01,0.10,0.00,0.80
1340,0.30,0.81,0.00,0.20
1341,0.30,0.81,0.00,0.20
1342,0.30,0.81,0.00,0.20
1343,0.04,1.00,0.00,0.30
1344,0.01,0.10,0.00,0.80
1345,0.01,0.10,0.00,0.80
1346,0.15,1.27,0.05,0.05
1347,0.15,1.27,0.05,0.05
1348,0.04,1.00,0.00,0.30
1349,0.15,1.27,0.05,0.05
1350,0.15,1.27,0.05,0.05
1351,0.15,1.27,0.05,0.05
1352,0.15,1.27,0.05,0.05
1353,0.15,1.27,0.05,0.05
1354,0.15,1.27,0.05,0.05
1355,0.30,0.75,0.00,0.30
1356,0.00,0.00,0.00,0.00
1357,0.00,0.00,0.00,0.00
1358,0.50,1.00,0.00,0.25
1359,0.05,0.25,0.00,0.40
1360,0.05,0.25,0.00,0.40
1361,0.30,0.69,0.10,0.70
1362,0.30,0.69,0.10,0.70
1363,0.30,0.69,0.10,0.70
1364,0.30,0.69,0.10,0.70
1365,0.75,1.00,0.00,0.25
1366,0.15,1.27,0.05,0.05
1367,0.30,0.69,0.10,0.70
1368,0.15,1.27,0.05,0.05
1369,0.30,0.69,0.10,0.70
1370,0.30,0.69,0.10,0.70
1371,0.75,1.00,0.00,0.25
1372,0.15,1.27,0.05,0.05
1373,0.75,1.00,0.00,0.25
1374,0.30,0.81,0.00,0.20
1375,0.15,1.27,0.05,0.05
1376,0.30,0.81,0.00,0.20
1377,0.15,1.27,0.05,0.05
1378,0.15,1.27,0.05,0.05
1379,0.15,1.27,0.05,0.05
1380,0.04,1.00,0.00,0.30
1381,0.03,2.00,0.00,0.02
1382,0.15,1.27,0.05,0.05
1383,0.15,1.27,0.05,0.05
1384,0.15,1.27,0.05,0.05
1385,0.15,1.27,0.05,0.05
1386,0.15,1.27,0.05,0.05
1387,0.15,1.27,0.05,0.05
1388,0.15,1.27,0.05,0.05
1389,0.15,1.27,0.05,0.05
1390,0.15,1.27,0.05,0.05
1391,0.05,0.25,0.00,0.40
1392,0.05,0.25,0.00,0.40
1393,0.05,0.25,0.00,0.40
1394,0.05,0.25,0.00,0.40
1395,0.15,1.27,0.05,0.05
1396,0.30,0.69,0.10,0.70
1397,0.30,0.69,0.10,0.70
1398,0.30,0.69,0.10,0.70
1399,0.30,0.69,0.10,0.70
1400,0.05,1.50,0.00,0.20
1401,0.05,1.50,0.00,0.20
1402,0.15,1.27,0.05,0.05
1403,0.03,2.00,0.00,0.02
1404,0.03,2.00,0.00,0.02
1405,0.15,1.27,0.05,0.05
1406,0.15,1.27,0.05,0.05
1407,0.15,1.27,0.05,0.05
1408,0.15,1.27,0.05,0.05
1409,0.03,2.00,0.00,0.02
1410,0.05,0.25,0.00,0.40
1411,0.05,0.25,0.00,0.40
1412,0.05,0.25,0.00,0.40
1413,0.30,0.69,0.10,0.70
1414,0.05,0.25,0.00,0.40
1415,0.30,0.69,0.10,0.70
1416,0.01,2.00,0.00,0.02
1417,0.05,1.50,0.00,0.20
1418,0.05,1.50,0.00,0.20
1419,0.30,0.81,0.00,0.20
1420,0.03,2.00,0.00,0.02
1421,0.03,2.00,0.00,0.02
1422,0.01,2.00,0.00,0.02
1423,0.30,0.81,0.00,0.20
1424,0.15,1.27,0.05,0.05
1425,0.15,1.27,0.05,0.05
1426,0.15,1.27,0.05,0.05
1427,0.30,0.69,0.10,0.70
1428,0.30,0.69,0.10,0.70
1429,0.15,1.27,0.05,0.05
1430,0.30,0.69,0.10,0.70
1431,0.20,0.20,0.00,0.50
1432,0.00,0.00,0.00,0.00
1433,0.01,0.50,0.00,0.10
1434,0.05,0.25,0.00,0.40
1435,0.01,0.10,0.00,0.30
1436,0.01,2.00,0.00,0.02
1437,0.05,1.50,0.00,0.20
1438,0.15,1.27,0.05,0.05
1439,0.01,2.00,0.00,0.02
1440,0.15,1.27,0.05,0.05
1441,0.15,1.27,0.05,0.05
1442,0.15,1.27,0.05,0.05
1443,0.03,2.00,0.00,0.02
1444,0.15,1.27,0.05,0.05
1445,0.15,1.27,0.05,0.05
1446,0.30,0.69,0.10,0.70
1447,0.30,0.69,0.10,0.70
1448,0.30,0.69,0.10,0.70
1449,0.05,0.25,0.00,0.40
1450,0.00,0.00,0.00,0.00
1451,0.01,0.50,0.00,0.10
1452,0.00,0.00,0.00,0.00
1453,0.01,0.25,0.00,0.20
1454,0.10,0.20,0.00,0.25
1455,0.10,0.20,0.00,0.25
1456,0.05,0.25,0.00,0.40
1457,0.05,0.25,0.00,0.40
1458,0.05,0.25,0.00,0.40
1459,0.20,2.00,0.00,0.02
1460,0.20,2.00,0.00,0.02
1461,0.01,3.75,0.00,0.01
1462,0.30,1.20,0.00,0.20
1463,0.30,1.20,0.00,0.20
1464,0.20,2.00,0.00,0.02
1465,0.10,0.81,0.05,0.20
1466,0.10,0.81,0.05,0.20
1467,0.01,3.75,0.00,0.01
1468,0.00,0.20,0.00,0.50
1469,0.00,0.00,0.00,0.00
1470,0.00,0.00,0.00,0.00
1471,0.10,0.20,0.00,0.25
1472,0.05,0.10,0.00,0.30
1473,0.10,0.20,0.00,0.25
1474,0.10,0.81,0.05,0.20
1475,0.05,0.10,0.00,0.30
1476,0.10,0.81,0.05,0.20
1477,0.10,0.20,0.00,0.25
1478,0.20,2.00,0.00,0.02
1479,0.10,1.50,0.00,0.02
1480,0.10,1.50,0.00,0.02
1481,0.01,3.75,0.00,0.01
1482,0.01,3.75,0.00,0.01
1483,0.01,3.75,0.00,0.01
1484,0.15,0.20,0.00,0.70
1485,0.15,0.20,0.00,0.70
1486,0.10,1.50,0.00,0.02
1487,0.10,0.81,0.05,0.20
1488,0.01,3.75,0.00,0.01
1489,0.05,0.10,0.00,0.30
1490,0.05,2.00,0.00,0.10
1491,0.05,2.00,0.00,0.10
1492,0.10,0.81,0.05,0.20
1493,0.01,3.75,0.00,0.01
1494,0.10,0.81,0.05,0.20
1495,0.10,0.81,0.05,0.20
1496,0.05,0.50,0.00,0.50
1497,0.10,1.50,0.00,0.02
1498,0.10,1.50,0.00,0.02
1499,0.01,3.75,0.00,0.01
1500,0.01,3.75,0.00,0.01
1501,0.01,3.75,0.00,0.01
1502,0.10,0.81,0.05,0.20
1503,0.05,0.50,0.00,0.50
1504,0.05,0.50,0.00,0.50
1505,0.00,0.20,0.00,0.50
1506,0.05,2.00,0.00,0.10
1507,0.05,2.00,0.00,0.10
