Little Hole final habitat variables file,,,,
SFR,6/12/2009 20:50,,,
CellNumber,FracShelt,DistHide,FracSpawn,FracHide
815,0.8,0,0,1
816,0.8,0,0,1
817,0.8,0,0,1
818,0.8,0,0,1
819,0.8,0.1,0,0.5
820,0.8,0.1,0,0.5
821,0.8,0.1,0,0.5
822,0.1,0.2,0,0.8
823,0.3,0.8,0,0.1
824,0.3,0.8,0,0.1
825,0.01,4.02,0,0.01
826,0.01,4.02,0,0.01
827,0.01,4.02,0,0.01
828,0,1,0,0.05
829,0.01,10,0,0
830,0.01,10,0,0
831,0.01,10,0,0
832,0.01,10,0,0
833,0.01,10,0,0
834,0.01,10,0,0
835,0,3,0,0.05
836,0.2,0.5,0,0.2
837,0.2,0.5,0,0.2
838,0.2,0.5,0,0.2
839,0.2,0.5,0,0.2
840,0.2,0.5,0,0.2
841,0.2,0.5,0,0.2
842,0.2,0.5,0,0.2
843,0.2,0.5,0,0.2
844,0.2,0.5,0,0.2
845,0,3,0.05,0.05
846,0,3,0.05,0.05
847,0,3,0.05,0.05
848,0.2,0.5,0,0.2
849,0.8,0,0,1
850,0.2,1,0,0.2
851,0.2,1,0,0.2
852,0.2,0.5,0,0.2
853,0.05,0.37,0,0.2
854,0.1,0.2,0,0.8
855,0.05,0.37,0,0.2
856,0.05,0.37,0,0.2
857,0.01,4.02,0,0.01
858,0.01,1.5,0,0.01
859,0.01,4.02,0,0.01
860,0.01,4.02,0,0.01
861,0.01,4.02,0,0.01
862,0.01,4.02,0,0.01
863,0.01,4.02,0,0.01
864,0.01,4.02,0,0.01
865,0.01,10,0,0
866,0.2,0.5,0,0.2
867,0.2,0.5,0,0.2
868,0.2,0.5,0,0.2
869,0.2,0.5,0,0.2
870,0.2,0.5,0,0.2
871,0.2,0.5,0,0.2
872,0.2,0.5,0,0.2
873,0.2,0.5,0,0.2
874,0.2,0.5,0,0.2
875,0.2,0.5,0,0.2
876,0.2,0.5,0,0.2
877,0.2,0.5,0,0.2
878,0,3,0.05,0.05
879,0,3,0.01,0.05
880,0.8,0,0,1
881,0.8,0,0,1
882,0.8,0,0,1
883,0.05,1,0,0.05
884,0.8,0,0,1
885,0.05,0.37,0,0.2
886,0.05,1,0,0.05
887,0.05,0.37,0,0.2
888,0.05,0.37,0,0.2
889,0.05,0.37,0,0.2
890,0.04,2.1,0,0.02
891,0,0.75,0,0.1
892,0,0.75,0,0.1
893,0.01,4.02,0,0.01
894,0.01,4.02,0,0.01
895,0,3,0.01,0.05
896,0.2,0.5,0,0.2
897,0.2,0.5,0,0.2
898,0.2,0.5,0,0.2
899,0.2,0.5,0,0.2
900,0,3,0.01,0.05
901,0.2,0.5,0,0.2
902,0.2,0.5,0,0.2
903,0.2,0.5,0,0.2
904,0.2,0.5,0,0.2
905,0.2,0.5,0,0.2
906,0,0.1,0,0.5
907,0,0.1,0,0.5
908,0.8,0,0,1
909,0.8,0,0,1
910,0.8,0,0,1
911,0.01,0.2,0,0.5
912,0.01,0.2,0,0.5
913,0.8,0,0,1
914,0.05,0.37,0,0.2
915,0.05,0.37,0,0.2
916,0.01,0.2,0,0.5
917,0.01,0.2,0,0.5
918,0.05,0.37,0,0.2
919,0.04,2.1,0,0.02
920,0.05,0.37,0,0.2
921,0.04,2.1,0,0.02
922,0.04,2.1,0,0.02
923,0,0.1,0,0.5
924,0,0.75,0,0.1
925,0,0.1,0,0.5
926,0,3,0.01,0.05
927,0,0.75,0,0.1
928,0.2,0.5,0,0.2
929,0,0,0,1
930,0.2,0.5,0,0.2
931,0.2,0.5,0,0.2
932,0,0.1,0,0.5
933,0.2,0.5,0,0.2
934,0,0.1,0,0.5
935,0.2,0.5,0,0.2
936,0.8,0,0,1
937,0.5,0.4,0,0.3
938,0.5,0.4,0,0.3
939,0.04,2.1,0,0.02
940,0.04,2.1,0,0.02
941,0.01,0.2,0,0.5
942,0.01,0.2,0,0.5
943,0.04,2.1,0,0.02
944,0.04,2.1,0,0.02
945,0.04,2.1,0,0.02
946,0.04,2.1,0,0.02
947,0,10,0,0
948,0,10,0,0
949,0,0.1,0,0.5
950,0,0.1,0,0.5
951,0,0.1,0,0.5
952,0,0.1,0,0.5
953,0,0,0,1
954,0,0.1,0,0.5
955,0.2,0.5,0,0.2
956,0,0.1,0,0.5
957,0,0.1,0,0.5
958,0.2,0.5,0,0.2
959,0.2,1,0,0.2
960,0.2,1,0,0.2
961,0.5,0.4,0,0.3
962,0.8,0,0,1
963,0.5,0.4,0,0.3
964,0.04,2.1,0,0.02
965,0.5,0.4,0,0.3
966,0.5,0.4,0,0.3
967,0.04,2.1,0,0.02
968,0.5,0.4,0,0.3
969,0.04,2.1,0,0.02
970,0,10,0,0
971,0,10,0,0
972,0,10,0,0
973,0,10,0,0
974,0.05,0.1,0,1
975,0,10,0,0
976,0.05,0.1,0,1
977,0,0.1,0,0.5
978,0.05,0.1,0,0.75
979,0.2,0.5,0,0.2
980,0.2,0.5,0,0.2
981,0.2,1,0,0.2
982,0.2,1,0,0.2
983,0.5,0.4,0,0.3
984,0.5,0.4,0,0.3
985,0.5,0.4,0,0.3
986,0.5,0.4,0,0.3
987,0.5,0.4,0,0.3
988,0.5,0.4,0,0.3
989,0.5,0.4,0,0.3
990,0,5,1,0
991,0,10,0,0
992,0,4,1,0
993,0.5,0.4,0,0.3
994,0,4,0.75,0
995,0.1,0,0,0.1
996,0,10,0,0
997,0,10,0,0
998,0.05,0,0,1
999,0.1,0,0,1
1000,0.05,0,0,1
1001,0.1,0,0,1
1002,0.1,0,0,0.1
1003,0.75,0.5,0,0.2
1004,0.15,0.5,0,0.15
1005,0.2,1,0,0.2
1006,0.2,1,0,0.2
1007,0.5,0.4,0,0.3
1008,0.5,0.4,0,0.3
1009,0.8,0,0,1
1010,0.5,0.4,0,0.3
1011,0.5,0.4,0,0.3
1012,0.5,0.4,0,0.3
1013,0,5,1,0
1014,0.1,0,0,0.1
1015,0.1,0,0,0.1
1016,0,4,1,0
1017,0,4,1,0
1018,0.5,0.4,0,0.3
1019,0,3,0.5,0
1020,0,3,0.5,0
1021,0,3,0.5,0
1022,0,3,0.5,0
1023,0.05,0.25,0.1,0.2
1024,0.05,0.25,0.1,0.2
1025,0.8,0,0,1
1026,0.2,1,0,0.2
1027,0.01,10,0,0
1028,0.01,10,0,0
1029,0.01,10,0,0
1030,0.01,10,0,0
1031,0.04,2.1,0,0.02
1032,0.01,10,0,0
1033,0.04,2.1,0,0.02
1034,0.5,0.4,0,0.3
1035,0.04,2.1,0,0.02
1036,0.8,0,0,1
1037,0.8,0,0,1
1038,0.05,1.5,0.05,0.05
1039,0.05,1.5,0.05,0.05
1040,0.05,1.5,0.05,0.05
1041,0.8,0,0,1
1042,0.01,10,0,0
1043,0.01,10,0,0
1044,0.01,10,0,0
1045,0.01,10,0,0
1046,0.04,2.1,0,0.02
1047,0.04,2.1,0,0.02
1048,0.04,2.1,0,0.02
1049,0.8,0,0,1
1050,0.01,10,0,0
1051,0.05,1.5,0.05,0.05
1052,0.05,1.5,0.05,0.05
1053,0.05,1.5,0.05,0.05
1054,0.05,1.5,0.05,0.05
1055,0.05,1.5,0.05,0.05
1056,0.8,0,0,1
1057,0.8,0,0,1
1058,0.01,10,0,0
1059,0.01,10,0,0
1060,0.5,0.4,0,0.3
1061,0.04,2.1,0,0.02
1062,0.04,2.1,0,0.02
1063,0.01,4.02,0,0.01
1064,0.01,4.02,0,0.01
1065,0.01,10,0,0
1066,0.01,10,0,0
1067,0.05,2,0.05,0.05
1068,0.05,1.5,0.05,0.05
1069,0.05,2,0.05,0.05
1070,0.8,0,0,1
1071,0.8,0,0,1
1072,0.8,0,0,1
1073,0.01,10,0,0
1074,0.01,10,0,0
1075,0.5,0.4,0,0.3
1076,0.04,2.1,0,0.02
1077,0.04,2.1,0,0.02
1078,0.01,4.02,0,0.01
1079,0.01,4.02,0,0.01
1080,0.01,4.02,0,0.01
1081,0.1,1,0,0.15
1082,0.01,4.02,0,0.01
1083,0.5,1,0,0.05
1084,0.5,1,0,0.05
1085,0.5,0.4,0,0.3
1086,0.01,10,0,0
1087,0.8,0,0,1
1088,0.8,0,0,1
1089,0.01,4.02,0,0.01
1090,0.05,2,0.05,0.05
1091,0.8,0,0,1
1092,0.8,0,0,1
1093,0.8,0,0,1
1094,0.8,0,0,1
1095,0.04,2.1,0,0.02
1096,0.04,2.1,0,0.02
1097,0.01,4.02,0,0.01
1098,0.1,1,0,0.15
1099,0.1,1,0,0.15
1100,0.1,1,0,0.15
1101,0.1,1,0,0.15
1102,0.1,1,0,0.15
1103,0.8,0,0,1
1104,0.5,1,0,0.05
1105,0.5,1,0,0.05
1106,0.5,0.4,0,0.3
1107,0.04,2.1,0,0.02
1108,0.8,0,0,1
1109,0.8,0,0,1
1110,0.8,0,0,1
1111,0.8,0,0,1
1112,0.8,0,0,1
1113,0.8,0,0,1
1114,0.04,2.1,0,0.02
1115,0.1,1,0,0.15
1116,0.1,1,0,0.15
1117,0.1,1,0,0.15
1118,0.1,1,0,0.15
1119,0.05,0.25,0,0.1
1120,0.8,0,0,1
1121,0.8,0,0,1
1122,0.8,0,0,1
1123,0.5,1,0,0.05
1124,0.5,1,0,0.05
1125,0.5,1,0,0.05
1126,0.04,2.1,0,0.02
1127,0.04,2.1,0,0.02
1128,0.04,2.1,0,0.02
1129,0.05,0.5,0,0.1
1130,0.8,0,0,1
1131,0.8,0,0,1
1132,0.8,0,0,1
1133,0.8,0,0,1
1134,0.05,0.5,0,0.1
1135,0.05,0.25,0,0.1
1136,0.1,1,0,0.15
1137,0.05,0.25,0,0.1
1138,0.05,0.25,0,0.1
1139,0.8,0,0,1
1140,0.5,1,0,0.05
1141,0.5,1,0,0.05
1142,0.03,1.5,0,0.02
1143,0.04,2.1,0,0.02
1144,0.04,2.1,0,0.02
1145,0.5,1,0,0.05
1146,0.5,1,0,0.05
1147,0.05,0.5,0,0.1
1148,0.8,0,0,1
1149,0,1,0,0
1150,0.8,0,0,1
1151,0.5,1,0,0.05
1152,0,1,0,0
1153,0.8,0,0,1
1154,0.8,0,0,1
1155,0.8,0,0,1
1156,0.8,0,0,1
1157,0.05,0.5,0,0.1
1158,0.05,0.5,0,0.1
1159,0.05,0.25,0,0.1
1160,0.8,0,0,1
1161,0.5,1,0,0.05
1162,0.5,1,0,0.05
1163,0.5,1,0,0.05
1164,0.5,1,0,0.05
1165,0,4.02,0.01,0.01
1166,0.05,0.5,0,0.1
1167,0.05,0.5,0,0.1
1168,0,1,0,0
1169,0.8,0,0,1
1170,0.8,0,0,1
1171,0.3,0.5,0,0.1
1172,0.2,2,0.01,0.02
1173,0.2,2,0.01,0.02
1174,0.8,0,0,1
1175,0.8,0,0,1
1176,0.8,0,0,1
1177,0.8,0,0,1
1178,0.8,0,0,1
1179,0.8,0,0,1
1180,0.05,0.5,0,0.1
1181,0.05,1,0,0.1
1182,0.05,1,0,0.1
1183,0.5,1,0,0.05
1184,0.05,0.5,0,0.1
1185,0,4.02,0.01,0.01
1186,0,4.02,0.01,0.01
1187,0.2,2,0.01,0.02
1188,0,4.02,0.01,0.01
1189,0.05,0.5,0,0.1
1190,0.05,0.5,0,0.1
1191,0.05,0.5,0,0.1
1192,0.8,0,0,1
1193,0.8,0,0,1
1194,0.2,0.5,0,0.1
1195,0.8,0,0,1
1196,0.8,0,0,1
1197,0.8,0,0,1
1198,0.8,0,0,1
1199,0.8,0,0,1
1200,0.8,0,0,1
1201,0.8,0,0,1
1202,0.05,2,0,0.05
1203,0.8,0,0,1
1204,0.8,0,0,1
1205,0.8,0,0,1
1206,0.05,0.5,0,0.1
1207,0.05,2,0,0.05
1208,0.05,2,0,0.05
1209,0,4.02,0.01,0.01
1210,0.02,4.02,0,0.01
1211,0,4.02,0.01,0.01
1212,0.02,4,0.1,0.01
1213,0,4.02,0.01,0.01
1214,0.2,0.5,0,0.1
1215,0.1,3,0.01,0.01
1216,0,4.02,0.01,0.01
1217,0.6,0.3,0.05,0.5
1218,0.6,0.3,0.05,0.5
1219,0.3,0.2,0,0.5
1220,0.2,0.5,0,0.1
1221,0.05,2,0,0.05
1222,0.05,2,0,0.05
1223,0.05,2,0,0.05
1224,0.8,0,0,1
1225,0.8,0,0,1
1226,0.8,0,0,1
1227,0.8,0,0,1
1228,0.05,2,0,0.05
1229,0.1,0.1,0,0.75
1230,0.02,4.02,0,0.01
1231,0.02,4.02,0,0.01
1232,0.02,4.02,0,0.01
1233,0.02,4.02,0,0.01
1234,0.02,4,0.1,0.01
1235,0.02,4,0.1,0.01
1236,0.02,4.02,0,0.01
1237,0.3,0.2,0,0.5
1238,0.02,10,0,0.01
1239,0.6,0.3,0.05,0.5
1240,0.6,0.3,0.05,0.5
1241,0.8,0,0,1
1242,0.05,2,0,0.05
1243,0.05,2,0,0.05
1244,0.05,2,0,0.05
1245,0.8,0,0,1
1246,0.1,0.1,0,0.75
1247,0.1,0.1,0,0.75
1248,0.01,0.1,0,0.75
1249,0.01,0.1,0,0.75
1250,0.01,0.1,0,0.75
1251,0.05,2,0,0.05
1252,0.1,0.1,0,0.75
1253,0.02,4.02,0,0.01
1254,0.02,4.02,0,0.01
1255,0.02,3,0.01,0.01
1256,0.02,3,0.01,0.01
1257,0.8,0,0,1
1258,0.02,3,0.01,0.01
1259,0.8,0,0,1
1260,0.8,0,0,1
1261,0.8,0,0,1
1262,0.05,2,0,0.1
1263,0.05,2,0,0.1
1264,0.1,0.1,0,0.75
1265,0.1,0.1,0,0.75
1266,0.1,0.1,0,0.75
1267,0.05,0.1,0,0.75
1268,0.01,0.1,0,0.75
1269,0.01,0.1,0,0.75
1270,0.01,0.1,0,0.75
1271,0.01,0.1,0,0.75
1272,0.05,2,0,0.1
1273,0.05,0.1,0,0.75
1274,0.05,0.1,0,0.75
1275,0.1,0.1,0,0.75
1276,0.05,2,0,0.1
1277,0.05,2,0,0.1
1278,0.05,2,0,0.1
1279,0.02,3,0.01,0.01
1280,0.02,3,0,0.01
1281,0.02,3,0.01,0.01
1282,0.02,5,0,0.01
1283,0.02,5,0,0.01
1284,0.02,3,0,0.01
1285,0.8,0,0,1
1286,0.8,0,0,1
1287,0.8,0,0,1
1288,0.8,0,0,1
1289,0.8,0,0,1
1290,0.8,0,0,1
1291,0.05,2,0,0.1
1292,0.1,0.1,0,0.75
1293,0.05,0.1,0,0.75
1294,0.05,0.1,0,0.75
1295,0.05,0.1,0,0.75
1296,0.01,0.1,0,0.75
1297,0.01,0.1,0,0.75
1298,0.01,0.1,0,0.75
1299,0.01,0.1,0,0.75
1300,0.01,0.1,0,0.75
1301,0.01,0.1,0,0.75
1302,0.01,0.1,0,0.75
1303,0.05,0.1,0,0.75
1304,0.05,0.1,0,0.75
1305,0.05,2,0,0.1
1306,0.05,2,0,0.1
1307,0.05,2,0,0.1
1308,0.05,0.1,0,0.75
1309,0.05,0.1,0,0.75
1310,0.05,2,0,0.1
1311,0.05,2,0,0.1
1312,0.02,3,0,0.01
1313,0.02,3,0,0.01
1314,0.02,3,0,0.01
1315,0.02,5,0,0.01
1316,0.02,3,0,0.01
1317,0.02,3,0,0.01
1318,0.8,0,0,1
1319,0.8,0,0,1
1320,0.8,0,0,1
1321,0.8,0,0,1
1322,0.8,0,0,1
1323,0.8,0,0,1
1324,0.05,0.1,0,0.75
1325,0.05,0.1,0,0.75
1326,0.2,0.1,0,0.75
1327,0.2,0.1,0,0.75
1328,0.2,0.1,0,0.75
1329,0.2,0.1,0,0.75
1330,0.2,0.1,0,0.75
1331,0.01,0.1,0,0.75
1332,0.01,0.1,0,0.75
1333,0.01,0.1,0,0.75
1334,0.01,0.1,0,0.75
1335,0.01,0.1,0,0.75
1336,0.01,0.1,0,0.75
1337,0.05,0.1,0,0.75
1338,0.05,2,0,0.1
1339,0.2,0.1,0,0.75
1340,0.02,3,0,0.01
1341,0.2,0.1,0,0.75
1342,0.02,3,0,0.01
1343,0.02,3,0,0.01
1344,0.01,4,0,0.01
1345,0.01,4,0,0.01
1346,0.01,4,0,0.01
1347,0.8,0,0,1
1348,0.02,5,0,0.01
1349,0.01,4,0,0.01
1350,0.8,0,0,1
1351,0.8,0,0,1
1352,0.8,0,0,1
1353,0.8,0,0,1
1354,0.8,0,0,1
1355,0.2,0.1,0,0.75
1356,0.2,0.1,0,0.75
1357,0.2,0.1,0,0.75
1358,0.2,0.1,0,0.75
1359,0.2,0.1,0,0.75
1360,0.2,0.1,0,0.75
1361,0.2,0.1,0,0.75
1362,0.2,0.1,0,0.75
1363,0.15,0.5,0,0.25
1364,0.15,0.5,0,0.25
1365,0.15,0.5,0,0.25
1366,0.05,0.5,0.05,0.25
1367,0.05,0.5,0.05,0.25
1368,0.05,0.5,0.05,0.25
1369,0.05,0.5,0.05,0.25
1370,0.2,0.1,0,0.75
1371,0.2,0.1,0,0.75
1372,0.2,0.1,0,0.75
1373,0.2,0.31,0,0.3
1374,0.2,0.31,0,0.3
1375,0.01,4,0,0.01
1376,0.02,5,0,0.01
1377,0.8,0,0,1
1378,0.01,4,0,0.01
1379,0.01,4,0,0.01
1380,0.8,0,0,1
1381,0.01,4,0,0.01
1382,0.8,0,0,1
1383,0.8,0,0,1
1384,0.8,0,0,1
1385,0.8,0,0,1
1386,0.8,0,0,1
1387,0.8,0,0,1
1388,0.2,0.1,0,0.75
1389,0.2,0.1,0,0.75
1390,0.2,0.1,0,0.75
1391,0.2,0.31,0,0.3
1392,0.2,0.31,0,0.3
1393,0.2,0.31,0,0.3
1394,0.2,0.31,0,0.3
1395,0.15,0.5,0,0.25
1396,0.15,0.5,0,0.25
1397,0.15,0.5,0,0.25
1398,0.05,0.5,0.05,0.25
1399,0.15,0.5,0,0.25
1400,0.15,0.5,0,0.25
1401,0.05,0.5,0.05,0.25
1402,0.05,0.5,0.05,0.25
1403,0.05,0.5,0.05,0.25
1404,0.2,0.31,0,0.3
1405,0.2,0.31,0,0.3
1406,0.04,2.1,0,0.02
1407,0.04,2.1,0,0.02
1408,0.1,0.95,0,0.05
1409,0.8,0,0,1
1410,0.02,5,0,0.01
1411,0.01,4,0,0.01
1412,0.01,4,0,0.01
1413,0.1,0.95,0,0.05
1414,0.1,0.95,0,0.05
1415,0.8,0,0,1
1416,0.04,10,0.05,0
1417,0.01,4,0,0.01
1418,0.8,0,0,1
1419,0.8,0,0,1
1420,0.8,0,0,1
1421,0.8,0,0,1
1422,0.8,0,0,1
1423,0.8,0,0,1
1424,0.2,0.31,0,0.3
1425,0.2,0.31,0,0.3
1426,0.2,0.31,0,0.3
1427,0.15,0.5,0,0.25
1428,0.1,0.5,0,0.25
1429,0.05,0.5,0.05,0.25
1430,0.1,0.5,0,0.25
1431,0.1,0.5,0,0.25
1432,0.1,0.5,0,0.25
1433,0.05,0.5,0.05,0.25
1434,0.05,0.5,0.05,0.25
1435,0.05,0.5,0.05,0.25
1436,0.05,0.5,0.05,0.25
1437,0.05,0.5,0.05,0.25
1438,0.05,0.5,0.05,0.25
1439,0.1,0.95,0,0.05
1440,0.1,0.5,0,0.25
1441,0.04,10,0.05,0
1442,0.04,10,0.05,0
1443,0.05,2.1,0,0.02
1444,0.01,4,0,0.01
1445,0.03,2.1,0,0.02
1446,0.1,0.95,0,0.05
1447,0.1,0.95,0,0.05
1448,0.04,10,0.05,0
1449,0.04,10,0.05,0
1450,0.8,0,0,1
1451,0.8,0,0,1
1452,0.02,5,0.02,0.01
1453,0.02,5,0.02,0.01
1454,0.8,0,0,1
1455,0.8,0,0,1
1456,0.8,0,0,1
1457,0.1,0.5,0,0.25
1458,0.1,0.5,0,0.25
1459,0.1,0.5,0,0.25
1460,0.1,0.5,0,0.25
1461,0.1,0.5,0,0.25
1462,0.05,0.5,0.05,0.25
1463,0.05,0.5,0.05,0.25
1464,0.05,0.5,0.05,0.25
1465,0.05,0.5,0.05,0.25
1466,0.05,0.5,0.05,0.25
1467,0.05,0.5,0.05,0.25
1468,0.04,10,0.05,0
1469,0.03,2.1,0,0.02
1470,0.03,2.1,0,0.02
1471,0.03,2.1,0,0.02
1472,0.1,0.95,0,0.05
1473,0.1,0.95,0,0.05
1474,0.1,0.95,0,0.05
1475,0.1,0.95,0,0.05
1476,0.1,0.5,0,0.25
1477,0.02,5,0.02,0.01
1478,0.02,5,0.02,0.01
1479,0.8,0,0,1
1480,0.02,10,0,0
1481,0.02,10,0,0
1482,0.02,5,0.02,0.01
1483,0.8,0,0,1
1484,0.8,0,0,1
1485,0.8,0,0,1
1486,0.8,0,0,1
1487,0.1,0.95,0,0.05
1488,0.1,0.95,0,0.05
1489,0.1,0.75,0,0.25
1490,0.1,0.75,0,0.25
1491,0.1,0.75,0,0.25
1492,0.1,0.75,0,0.25
1493,0.1,0.75,0,0.25
1494,0.05,0.5,0.05,0.25
1495,0.1,0.75,0,0.25
1496,0.1,0.75,0,0.25
1497,0.05,0.5,0.05,0.25
1498,0.05,0.5,0.05,0.25
1499,0.1,0.75,0,0.25
1500,0.1,0.75,0,0.25
1501,0.02,5,0.02,0.01
1502,0.03,2.1,0,0.02
1503,0.05,1,0,0.05
1504,0.1,0.95,0,0.05
1505,0.1,0.75,0,0.25
1506,0.1,0.95,0,0.05
1507,0.02,5,0.02,0.01
1508,0.05,2.1,0,0.02
1509,0.8,0,0,1
1510,0.02,10,0,0
1511,0.02,10,0,0
1512,0.02,10,0,0
1513,0.05,2.1,0,0.02
1514,0.8,0,0,1
1515,0.8,0,0,1
1516,0.8,0,0,1
1517,0.8,0,0,1
1518,0.8,0,0,1
1519,0.1,0.75,0,0.25
1520,0.1,0.75,0,0.25
1521,0.1,0.75,0,0.25
1522,0.05,0.5,0.05,0.25
1523,0.05,0.5,0.05,0.25
1524,0.05,0.5,0.05,0.25
1525,0.1,0.75,0,0.25
1526,0.05,1,0,0.05
1527,0.05,1,0,0.05
1528,0.05,1,0,0.05
1529,0.05,1,0,0.05
1530,0.05,1,0,0.05
1531,0.05,1,0,0.05
1532,0.05,1,0,0.05
1533,0.05,2.1,0,0.02
1534,0.05,1,0,0.05
1535,0.01,5,0.01,0.01
1536,0.01,4.02,0.02,0.01
1537,0.02,10,0,0
1538,0.01,4.02,0.02,0.01
1539,0.01,4.02,0.02,0.01
1540,0.05,2.1,0,0.02
1541,0.8,0,0,1
1542,0.8,0,0,1
1543,0.01,5,0.01,0.01
1544,0.01,5,0.01,0.01
1545,0.01,5,0.01,0.01
1546,0.8,0,0,1
1547,0.8,0,0,1
1548,0.8,0,0,1
1549,0.05,0.5,0.05,0.25
1550,0.05,0.5,0.05,0.25
1551,0.05,1,0,0.05
1552,0.05,0.5,0.05,0.25
1553,0.05,0.5,0.05,0.25
1554,0.05,1,0,0.05
1555,0.05,1,0,0.05
1556,0.05,1,0,0.05
1557,0.05,1,0,0.05
1558,0.05,1,0,0.05
1559,0.1,2.1,0,0.02
1560,0.1,2.1,0,0.02
1561,0.05,1,0,0.05
1562,0.01,5,0.01,0.01
1563,0.05,2.1,0,0.02
1564,0.1,2.1,0,0.02
1565,0.8,0,0,1
1566,0,2,0,0.05
1567,0,2,0,0.05
1568,0.01,5,0.01,0.01
1569,0,2,0,0.05
1570,0,2,0,0.05
1571,0.8,0,0,1
1572,0.8,0,0,1
1573,0.8,0,0,1
1574,0.05,1,0,0.05
1575,0.05,0.5,0.05,0.25
1576,0.05,1,0,0.05
1577,0.05,1,0,0.05
1578,0.05,1,0,0.05
1579,0.05,1,0,0.05
1580,0.15,0.5,0,0.1
1581,0,0,0,0.8
1582,0.1,2.1,0,0.02
1583,0.1,2.1,0,0.02
1584,0.1,2.1,0,0.02
1585,0.05,2.1,0,0.02
1586,0.1,2.1,0,0.02
1587,0.1,2.1,0,0.02
1588,0.1,2.1,0,0.02
1589,0.8,0,0,1
1590,0.2,0.2,0,0.6
1591,0,2,0,0.05
1592,0.2,0.2,0,0.6
1593,0.15,0.25,0,0.15
1594,0.1,0.23,0,0.8
1595,0.8,0,0,1
1596,0.8,0,0,1
1597,0.8,0,0,1
1598,0.8,0,0,1
1599,0.05,1,0,0.05
1600,0.05,1,0,0.05
1601,0.15,0.5,0,0.1
1602,0.15,0.5,0,0.1
1603,0.15,0.5,0,0.1
1604,0.15,0.5,0,0.1
1605,0,0,0,0.8
1606,0,0,0,0.8
1607,0,0,0,0.8
1608,0,0,0,0.8
1609,0.1,2.1,0,0.02
1610,0.15,0.25,0,0.15
1611,0.1,2.1,0,0.02
1612,0.15,0.25,0,0.15
1613,0.15,0.25,0,0.15
1614,0.15,0.25,0,0.15
1615,0.15,0.25,0,0.15
1616,0.8,0,0,1
1617,0.8,0,0,1
1618,0.8,0,0,1
1619,0.2,0.2,0,0.6
1620,0.2,0.2,0,0.6
1621,0.1,0.8,0,0.05
1622,0.1,0.23,0,0.8
1623,0.1,0.23,0,0.8
1624,0.15,0.25,0,0.15
1625,0.1,0.23,0,0.8
1626,0.8,0,0,1
1627,0.8,0,0,1
1628,0.8,0,0,1
1629,0.02,1,0,0.3
1630,0.8,0,0,1
1631,0.8,0,0,1
1632,0.15,0.25,0,0.15
1633,0.15,0.25,0,0.15
1634,0.15,0.25,0,0.15
1635,0,0,0,0.8
1636,0,0,0,0.8
1637,0,0,0,0.8
1638,0.15,0.25,0,0.15
1639,0.15,0.25,0,0.15
1640,0.15,0.25,0,0.15
1641,0.15,0.25,0,0.15
1642,0.15,0.25,0,0.15
1643,0.15,0.25,0,0.15
1644,0.02,1,0,0.3
1645,0.02,1,0,0.3
1646,0.02,1,0,0.3
1647,0.1,0.8,0,0.05
1648,0.1,0.23,0,0.8
1649,0.1,0.23,0,0.8
1650,0.1,0.23,0,0.8
1651,0.1,0.23,0,0.8
1652,0.05,1,0,0.05
1653,0.1,0.23,0,0.8
1654,0.1,0.23,0,0.8
1655,0.8,0,0,1
1656,0.8,0,0,1
1657,0.8,0,0,1
1658,0.04,3,0,0.01
1659,0.8,0,0,1
1660,0.8,0,0,1
1661,0.15,0.25,0,0.15
1662,0.15,0.25,0,0.15
1663,0.15,0.25,0,0.15
1664,0.15,0.25,0,0.15
1665,0,0,0,0.8
1666,0,0,0,0.8
1667,0,0,0,0.8
1668,0,0,0,0.8
1669,0,0,0,0.8
1670,0.15,0.25,0,0.15
1671,0.15,0.25,0,0.15
1672,0.15,0.25,0,0.15
1673,0.05,1,0,0.05
1674,0.15,0.25,0,0.15
1675,0.04,3,0,0.01
1676,0.1,0.8,0,0.05
1677,0.1,0.8,0,0.05
1678,0.1,0.23,0,0.8
1679,0.1,0.23,0,0.8
1680,0.1,0.23,0,0.8
1681,0.05,1,0,0.05
1682,0.05,1,0,0.05
1683,0.1,0.23,0,0.8
1684,0.05,1,0,0.05
1685,0.05,1,0,0.05
1686,0.8,0,0,1
1687,0.8,0,0,1
1688,0.8,0,0,1
1689,0.04,3,0,0.01
1690,0.8,0,0,1
1691,0.15,0.25,0,0.15
1692,0.15,0.25,0,0.15
1693,0.15,0.25,0,0.15
1694,0.15,0.25,0,0.15
1695,0.15,0.1,0,0.2
1696,0,0,0,0.8
1697,0.15,0.1,0,0.2
1698,0,0,0,0.8
1699,0,0,0,0.8
1700,0,0,0,0.8
1701,0,0,0,0.8
1702,0,0,0,0.8
1814,0.05,0.75,0,0.05
1815,0.05,0.75,0,0.05
1816,0.05,0.5,0,0.05
1817,0.05,0.5,0,0.05
1818,0,5,0,0
1819,0.05,0.75,0,0.05
1820,0.05,0.75,0,0.05
1821,0.05,0.75,0,0.05
1822,0.05,0.1,0,0.7
1823,0.1,0.2,0,0.3
1824,0,1,0,0.1
1825,0.1,0.23,0,0.8
1826,0.1,0.23,0,0.8
1827,0.1,0.23,0,0.8
1828,0.1,0.23,0,0.8
1829,0.1,0.23,0,0.8
1830,0.8,0,0,1
1831,0.8,0,0,1
